epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,140.623,0.53831,0.4955,0.83169,0.99652,1,0.995,0.83478,0.6012,0.37674,0.83837,0.000548,0.000548,0.000548
46,143.121,0.54712,0.48624,0.85371,0.99655,1,0.995,0.84378,0.64481,0.36644,0.84358,0.000515,0.000515,0.000515
47,145.533,0.54425,0.46645,0.84081,0.9967,1,0.995,0.85025,0.68671,0.39102,0.85705,0.000482,0.000482,0.000482
48,147.906,0.56133,0.50187,0.84551,0.99673,1,0.995,0.85176,0.59239,0.35551,0.84044,0.000449,0.000449,0.000449
49,151.356,0.54763,0.47058,0.83433,0.99645,1,0.995,0.86169,0.58725,0.3487,0.84322,0.000416,0.000416,0.000416
50,153.809,0.53186,0.46094,0.83238,0.99637,1,0.995,0.87501,0.61857,0.3744,0.84554,0.000383,0.000383,0.000383
51,158.293,0.52975,0.5681,0.84132,0.99619,1,0.995,0.88062,0.61925,0.37575,0.84279,0.00035,0.00035,0.00035
52,161.644,0.52674,0.53873,0.83058,0.99606,1,0.995,0.88252,0.593,0.38897,0.84365,0.000317,0.000317,0.000317
53,165.014,0.49813,0.53511,0.83548,0.99597,1,0.995,0.89016,0.60446,0.35773,0.84749,0.000284,0.000284,0.000284
54,167.412,0.49,0.51135,0.82755,0.99616,1,0.995,0.86393,0.63806,0.35254,0.85251,0.000251,0.000251,0.000251
55,169.812,0.47118,0.4928,0.82364,0.99627,1,0.995,0.87599,0.63366,0.34674,0.8512,0.000218,0.000218,0.000218
56,172.027,0.50729,0.49823,0.82761,0.99656,1,0.995,0.86608,0.58583,0.34257,0.83858,0.000185,0.000185,0.000185
57,174.598,0.49577,0.48176,0.82538,0.99648,1,0.995,0.86604,0.56432,0.33908,0.83108,0.000152,0.000152,0.000152
58,177.799,0.47569,0.49215,0.80381,0.9964,1,0.995,0.89518,0.56052,0.33264,0.83022,0.000119,0.000119,0.000119
59,180.119,0.49188,0.49615,0.82901,0.9964,1,0.995,0.88138,0.5648,0.33099,0.83084,8.6e-05,8.6e-05,8.6e-05
60,182.506,0.46401,0.48969,0.82184,0.99639,1,0.995,0.87119,0.57127,0.33204,0.83189,5.3e-05,5.3e-05,5.3e-05
